 
CarID,Brand,Model,Price,Year,Miles,Gear,Fuel,Color,InteriorColor,Drive,Power,Weight,NumberofSeats,Body,NumberofDoors,TaxClass,NextEUInspectionDate,CylinderVolume,Sold
297512373,BMW,5-serie,369900,2016,150800,Automat,Bensin,Blå,Firehjulsdrift,306,1765kg,5,Sedan,4,Personbil,18.06.2024,3l,,False
293470730,BMW,5-serie,309000,2017,145000,Automat,El + Bensin,Blå,Leather Dakota/elfenbein-weiss/excl.seam,Bakhjulsdrift,296,1770kg,5,Sedan,5,Personbil,2l,,False
296129412,BMW,5-serie,179985,2013,209000,Automat,Diesel,Sølv,Firehjulsdrift,163,1840kg,5,Stasjonsvogn,5,Personbil,2l,,,False
259828494,BMW,3-serie,336681,2019,115500,Automat,Diesel,White,Svart,Firehjulsdrift,190,1650kg,5,Stasjonsvogn,5,Personbil,01.02.2025,2l,False
294958965,BMW,3-serie,228000,2016,157000,Automat,El + Bensin,White,Sort Alcantara/Stoff,Bakhjulsdrift,252,1660kg,5,Sedan,4,3,Personbil,2l,False
292514435,BMW,3-serie,81777,2010,189000,Automat,Diesel,Grå,Bakhjulsdrift,143,1505kg,5,Stasjonsvogn,5,7,Personbil,20.07.2024,2l,False
296921370,BMW,3-serie,51777,2009,242263,Manuell,Diesel,Grå,Sort skinn,Firehjulsdrift,163,1600kg,5,Sedan,5,Personbil,1995l,,False
296880561,BMW,5-serie,35277,2005,330000,Automat,Bensin,Sølv,Bakhjulsdrift,170,1570kg,5,Sedan,4,9,Personbil,13.03.2025,"2,2l",False
296263111,BMW,3-serie,319000,2013,42500,Automat,Bensin,Beige,Sort,Bakhjulsdrift,306,1750kg,5,Sedan,4,Personbil,23.11.2023,3l,False
290434655,BMW,3-serie,111777,2008,210000,Automat,Diesel,Grå,Bakhjulsdrift,197,1600kg,5,Stasjonsvogn,5,4,Personbil,03.06.2024,3l,False
292372247,BMW,5-serie,158000,2012,227600,Automat,Diesel,Black,Sort Skinn,Firehjulsdrift,218,1820kg,5,Stasjonsvogn,5,Personbil,2l,,False
297319395,BMW,7-serie,39777,1997,320000,Automat,Diesel,Blå,Bakhjulsdrift,143,1740kg,5,Sedan,16,Personbil,"2,5l",,,False
294843993,BMW,3-serie,269000,2018,111400,Automat,El + Bensin,Blå,Bakhjulsdrift,272,1660kg,5,Sedan,Personbil,2l,,,,False
280422489,BMW,7-serie,199990,2009,202000,Automat,Diesel,Black,Bakhjulsdrift,245,1865kg,5,Sedan,5,Personbil,03.11.2024,3l,,False
296913660,BMW,4-serie,379990,2018,84811,Automat,Bensin,Black,Dakota svart helskinn,Firehjulsdrift,184,1615kg,5,Coupe,5,Personbil,2l,,False
295283359,BMW,3-serie,230000,2012,150000,Automat,Bensin,Blå,brunt skinn,Bakhjulsdrift,245,1455kg,5,Sedan,4,Personbil,16.03.2025,2l,False
295661593,BMW,5-serie,349147,2018,89345,Automat,El + Bensin,Blå,Bakhjulsdrift,252,1770kg,5,Sedan,4,3,Personbil,2l,,False
296651505,BMW,7-serie,329900,2012,154640,Automat,Diesel,White,Dakota sort,Firehjulsdrift,306,1950kg,5,Sedan,Personbil,3l,,,False
292694628,BMW,3-serie,179000,2016,198000,Automat,Diesel,Sølv,Svart,Bakhjulsdrift,136,1520kg,5,Stasjonsvogn,5,Personbil,2l,,False
296140793,BMW,3-serie,74999,2009,255000,Manuell,Diesel,Black,Svart,Bakhjulsdrift,143,1580kg,5,Stasjonsvogn,5,Personbil,30.09.2024,2l,False
295982537,BMW,5-serie,369000,2019,50530,Automat,El + Bensin,Blå,Bakhjulsdrift,252,1770kg,5,Sedan,4,Personbil,13.12.2024,2l,,False
297329034,BMW,4-serie,399000,2015,97000,Automat,Bensin,White,VenetobeigeDakota/DF Fullskinn,Firehjulsdrift,245,1770kg,4,Cabriolet,2,Personbil,2l,,False
232038211,BMW,5-serie,75000,2007,348000,Automat,Diesel,Black,Firehjulsdrift,197,1680kg,5,Sedan,4,3,Personbil,21.03.2025,3l,False
296642253,BMW,5-serie,214147,2013,120000,Automat,Diesel,Black,Bakhjulsdrift,184,1625kg,5,Sedan,6,Personbil,2l,,,False
